Location,Date,Stay_Home_Order,Status_of_Reopening,NonEss_Business_Closed,Gathering_Limit,Emergency_Declaration,Travel_Quarantine,Restaurants,School_Closed,Mask_Requirement
South Carolina,2020-06-08,Lifted,NA,All Reopened,All Prohbited,Yes,No Restrictions,Limited Indoor,Closed,NA
South Dakota,2020-06-08,-,NA,-,No Limit,Yes,-,-,Recommended,NA
Tennessee,2020-06-08,Lifted,NA,All Reopened,25,Yes,-,No Limits,Recommended,NA
Texas,2020-06-08,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Utah,2020-06-08,Lifted,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Vermont,2020-06-08,Statewide,NA,Reduced Capacity,25,Yes,All Travelers,Limited Indoor,Closed,NA
Virginia,2020-06-08,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Washington,2020-06-08,Lifted,NA,Some Reopened,Other,Yes,-,No Indoor,Closed,NA
West Virginia,2020-06-08,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,Closed,NA
Wisconsin,2020-06-08,Lifted,NA,All Reopened,No Limit,Yes,-,No Limits,Closed,NA
Wyoming,2020-06-08,-,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Alabama,2020-06-09,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Alaska,2020-06-09,Lifted,NA,All Reopened,No Limit,Yes,All Travelers,No Limits,Closed,NA
Arizona,2020-06-09,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Arkansas,2020-06-09,-,NA,-,10,Yes,Certain States,Limited Indoor,Closed,NA
California,2020-06-09,Statewide,NA,Reduced Capacity,All Prohbited,Yes,-,No Indoor,Recommended,NA
Colorado,2020-06-09,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Connecticut,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Delaware,2020-06-09,Lifted,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
District of Columbia,2020-06-09,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
Florida,2020-06-09,Lifted,NA,Reduced Capacity,No Limit,Yes,Certain States,Limited Indoor,Recommended,NA
Georgia,2020-06-09,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Hawaii,2020-06-09,Statewide,NA,Some Reopened,10,Yes,All Travelers,Limited Indoor,Closed,NA
Idaho,2020-06-09,Lifted,NA,Some Reopened,No Limit,Yes,No Restrictions,Limited Indoor,Recommended,NA
Illinois,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
Indiana,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Iowa,2020-06-09,-,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Kansas,2020-06-09,Lifted,NA,All Reopened,25,Yes,Certain States,No Limits,Closed,NA
Kentucky,2020-06-09,Lifted,NA,Some Reopened,25,Yes,No Restrictions,Limited Indoor,Recommended,NA
Louisiana,2020-06-09,Lifted,NA,Reduced Capacity,No Limit,Yes,-,Limited Indoor,Closed,NA
Maine,2020-06-09,Statewide,NA,Some Reopened,25,Yes,All Travelers,Limited Indoor,Recommended,NA
Maryland,2020-06-09,Lifted,NA,Reduced Capacity,10,Yes,All Travelers,Limited Indoor,Closed,NA
Massachusetts,2020-06-09,High-Risk Groups,NA,Some Reopened,10,Yes,All Travelers,No Indoor,Closed,NA
Michigan,2020-06-09,Lifted,NA,Some Reopened,25,Yes,-,Limited Indoor,Closed,NA
Minnesota,2020-06-09,Lifted,NA,Some Reopened,10,Yes,-,Limited Indoor,Closed,NA
Mississippi,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Missouri,2020-06-09,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Montana,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,NA,NA
Nebraska,2020-06-09,-,NA,-,25,Yes,International,Limited Indoor,Closed,NA
Nevada,2020-06-09,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Hampshire,2020-06-09,Statewide,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Jersey,2020-06-09,Statewide,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
New Mexico,2020-06-09,Statewide,NA,Reduced Capacity,25,Yes,Air Travelers,No Indoor,Closed,NA
New York,2020-06-09,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
North Carolina,2020-06-09,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
North Dakota,2020-06-09,-,NA,All Reopened,-,Yes,All Travelers,No Limits,Closed,NA
Ohio,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,No Limits,Closed,NA
Oklahoma,2020-06-09,High-Risk Groups,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
Oregon,2020-06-09,Statewide,NA,Some Reopened,25,Yes,-,No Limits,Closed,NA
Pennsylvania,2020-06-09,Lifted,NA,Some Reopened,25,Yes,-,No Indoor,Closed,NA
Rhode Island,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
South Carolina,2020-06-09,Lifted,NA,All Reopened,All Prohbited,Yes,No Restrictions,Limited Indoor,Closed,NA
South Dakota,2020-06-09,-,NA,-,No Limit,Yes,-,-,Recommended,NA
Tennessee,2020-06-09,Lifted,NA,All Reopened,25,Yes,-,No Limits,Recommended,NA
Texas,2020-06-09,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Utah,2020-06-09,Lifted,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Vermont,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
Virginia,2020-06-09,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Washington,2020-06-09,Lifted,NA,Some Reopened,Other,Yes,-,Limited Indoor,Closed,NA
West Virginia,2020-06-09,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,Closed,NA
Wisconsin,2020-06-09,Lifted,NA,All Reopened,No Limit,Yes,-,No Limits,Closed,NA
Wyoming,2020-06-09,-,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Alabama,2020-06-10,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Alaska,2020-06-10,Lifted,NA,All Reopened,No Limit,Yes,All Travelers,No Limits,Closed,NA
Arizona,2020-06-10,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Arkansas,2020-06-10,-,NA,-,10,Yes,Certain States,Limited Indoor,Closed,NA
California,2020-06-10,Statewide,NA,Reduced Capacity,All Prohbited,Yes,-,No Indoor,Recommended,NA
Colorado,2020-06-10,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Connecticut,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Delaware,2020-06-10,Lifted,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
District of Columbia,2020-06-10,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
Florida,2020-06-10,Lifted,NA,Reduced Capacity,No Limit,Yes,Certain States,Limited Indoor,Recommended,NA
Georgia,2020-06-10,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Hawaii,2020-06-10,Statewide,NA,Some Reopened,10,Yes,All Travelers,Limited Indoor,Closed,NA
Idaho,2020-06-10,Lifted,NA,Some Reopened,No Limit,Yes,No Restrictions,Limited Indoor,Recommended,NA
Illinois,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
Indiana,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Iowa,2020-06-10,-,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Kansas,2020-06-10,Lifted,NA,All Reopened,25,Yes,Certain States,No Limits,Closed,NA
Kentucky,2020-06-10,Lifted,NA,Some Reopened,25,Yes,No Restrictions,Limited Indoor,Recommended,NA
Louisiana,2020-06-10,Lifted,NA,Reduced Capacity,No Limit,Yes,-,Limited Indoor,Closed,NA
Maine,2020-06-10,Statewide,NA,Some Reopened,25,Yes,All Travelers,Limited Indoor,Recommended,NA
Maryland,2020-06-10,Lifted,NA,Reduced Capacity,10,Yes,All Travelers,Limited Indoor,Closed,NA
Massachusetts,2020-06-10,High-Risk Groups,NA,Some Reopened,10,Yes,All Travelers,No Indoor,Closed,NA
Michigan,2020-06-10,Lifted,NA,Some Reopened,25,Yes,-,Limited Indoor,Closed,NA
Minnesota,2020-06-10,Lifted,NA,Some Reopened,10,Yes,-,Limited Indoor,Closed,NA
Mississippi,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Missouri,2020-06-10,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Montana,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,NA,NA
Nebraska,2020-06-10,-,NA,-,25,Yes,International,Limited Indoor,Closed,NA
Nevada,2020-06-10,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Hampshire,2020-06-10,Statewide,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Jersey,2020-06-10,Statewide,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
New Mexico,2020-06-10,Statewide,NA,Reduced Capacity,25,Yes,Air Travelers,No Indoor,Closed,NA
New York,2020-06-10,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
North Carolina,2020-06-10,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
North Dakota,2020-06-10,-,NA,All Reopened,-,Yes,All Travelers,No Limits,Closed,NA
Ohio,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,No Limits,Closed,NA
Oklahoma,2020-06-10,High-Risk Groups,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
Oregon,2020-06-10,Statewide,NA,Some Reopened,25,Yes,-,No Limits,Closed,NA
Pennsylvania,2020-06-10,Lifted,NA,Some Reopened,25,Yes,-,No Indoor,Closed,NA
Rhode Island,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
South Carolina,2020-06-10,Lifted,NA,All Reopened,All Prohbited,Yes,No Restrictions,Limited Indoor,Closed,NA
South Dakota,2020-06-10,-,NA,-,No Limit,Yes,-,-,Recommended,NA
Tennessee,2020-06-10,Lifted,NA,All Reopened,25,Yes,-,No Limits,Recommended,NA
Texas,2020-06-10,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Utah,2020-06-10,Lifted,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Vermont,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
Virginia,2020-06-10,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Washington,2020-06-10,Lifted,NA,Some Reopened,Other,Yes,-,Limited Indoor,Closed,NA
West Virginia,2020-06-10,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,Closed,NA
Wisconsin,2020-06-10,Lifted,NA,All Reopened,No Limit,Yes,-,No Limits,Closed,NA
Wyoming,2020-06-10,-,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Alabama,2020-06-11,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Alaska,2020-06-11,Lifted,NA,All Reopened,No Limit,Yes,All Travelers,No Limits,Closed,NA
Arizona,2020-06-11,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Arkansas,2020-06-11,-,NA,-,10,Yes,Certain States,Limited Indoor,Closed,NA
California,2020-06-11,Statewide,NA,Reduced Capacity,All Prohbited,Yes,-,No Indoor,Recommended,NA
Colorado,2020-06-11,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Connecticut,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Delaware,2020-06-11,Lifted,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
District of Columbia,2020-06-11,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
Florida,2020-06-11,Lifted,NA,Reduced Capacity,No Limit,Yes,Certain States,Limited Indoor,Recommended,NA
Georgia,2020-06-11,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Hawaii,2020-06-11,Statewide,NA,Some Reopened,10,Yes,All Travelers,Limited Indoor,Closed,NA
Idaho,2020-06-11,Lifted,NA,Some Reopened,No Limit,Yes,No Restrictions,Limited Indoor,Recommended,NA
Illinois,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
Indiana,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Iowa,2020-06-11,-,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Kansas,2020-06-11,Lifted,NA,All Reopened,25,Yes,Certain States,No Limits,Closed,NA
Kentucky,2020-06-11,Lifted,NA,Some Reopened,25,Yes,No Restrictions,Limited Indoor,Recommended,NA
Louisiana,2020-06-11,Lifted,NA,Reduced Capacity,No Limit,Yes,-,Limited Indoor,Closed,NA
Maine,2020-06-11,Statewide,NA,Some Reopened,25,Yes,All Travelers,Limited Indoor,Recommended,NA
Maryland,2020-06-11,Lifted,NA,Reduced Capacity,10,Yes,All Travelers,Limited Indoor,Closed,NA
Massachusetts,2020-06-11,High-Risk Groups,NA,Some Reopened,10,Yes,All Travelers,No Indoor,Closed,NA
Michigan,2020-06-11,Lifted,NA,Some Reopened,25,Yes,-,Limited Indoor,Closed,NA
Minnesota,2020-06-11,Lifted,NA,Some Reopened,10,Yes,-,Limited Indoor,Closed,NA
Mississippi,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Missouri,2020-06-11,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Montana,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,NA,NA
Nebraska,2020-06-11,-,NA,-,25,Yes,International,Limited Indoor,Closed,NA
Nevada,2020-06-11,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Hampshire,2020-06-11,Statewide,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Jersey,2020-06-11,Statewide,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
New Mexico,2020-06-11,Statewide,NA,Reduced Capacity,25,Yes,Air Travelers,No Indoor,Closed,NA
New York,2020-06-11,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
North Carolina,2020-06-11,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
North Dakota,2020-06-11,-,NA,All Reopened,-,Yes,All Travelers,No Limits,Closed,NA
Ohio,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,No Limits,Closed,NA
Oklahoma,2020-06-11,High-Risk Groups,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
Oregon,2020-06-11,Statewide,NA,Some Reopened,25,Yes,-,No Limits,Closed,NA
Pennsylvania,2020-06-11,Lifted,NA,Some Reopened,25,Yes,-,No Indoor,Closed,NA
Rhode Island,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
South Carolina,2020-06-11,Lifted,NA,All Reopened,All Prohbited,Yes,No Restrictions,Limited Indoor,Closed,NA
South Dakota,2020-06-11,-,NA,-,No Limit,Yes,-,-,Recommended,NA
Tennessee,2020-06-11,Lifted,NA,All Reopened,25,Yes,-,No Limits,Recommended,NA
Texas,2020-06-11,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Utah,2020-06-11,Lifted,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Vermont,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
Virginia,2020-06-11,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Washington,2020-06-11,Lifted,NA,Some Reopened,Other,Yes,-,Limited Indoor,Closed,NA
West Virginia,2020-06-11,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,Closed,NA
Wisconsin,2020-06-11,Lifted,NA,All Reopened,No Limit,Yes,-,No Limits,Closed,NA
Wyoming,2020-06-11,-,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Alabama,2020-06-12,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Alaska,2020-06-12,Lifted,NA,All Reopened,No Limit,Yes,All Travelers,No Limits,Closed,NA
Arizona,2020-06-12,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Arkansas,2020-06-12,-,NA,-,10,Yes,Certain States,Limited Indoor,Closed,NA
California,2020-06-12,Statewide,NA,Reduced Capacity,All Prohbited,Yes,-,No Indoor,Recommended,NA
Colorado,2020-06-12,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Connecticut,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Delaware,2020-06-12,Lifted,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
District of Columbia,2020-06-12,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
Florida,2020-06-12,Lifted,NA,Reduced Capacity,No Limit,Yes,Certain States,Limited Indoor,Recommended,NA
Georgia,2020-06-12,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Hawaii,2020-06-12,Statewide,NA,Some Reopened,10,Yes,All Travelers,Limited Indoor,Closed,NA
Idaho,2020-06-12,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Recommended,NA
Illinois,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
Indiana,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Iowa,2020-06-12,-,NA,Some Reopened,25,Yes,-,No Limits,Closed,NA
Kansas,2020-06-12,Lifted,NA,All Reopened,25,Yes,Certain States,No Limits,Closed,NA
Kentucky,2020-06-12,Lifted,NA,Some Reopened,25,Yes,No Restrictions,Limited Indoor,Recommended,NA
Louisiana,2020-06-12,Lifted,NA,Reduced Capacity,No Limit,Yes,-,Limited Indoor,Closed,NA
Maine,2020-06-12,Statewide,NA,Some Reopened,25,Yes,All Travelers,Limited Indoor,Recommended,NA
Maryland,2020-06-12,Lifted,NA,Reduced Capacity,10,Yes,All Travelers,Limited Indoor,Closed,NA
Massachusetts,2020-06-12,High-Risk Groups,NA,Some Reopened,10,Yes,All Travelers,No Indoor,Closed,NA
Michigan,2020-06-12,Lifted,NA,Some Reopened,25,Yes,-,Limited Indoor,Closed,NA
Minnesota,2020-06-12,Lifted,NA,Some Reopened,10,Yes,-,Limited Indoor,Closed,NA
Mississippi,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Missouri,2020-06-12,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Montana,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,NA,NA
Nebraska,2020-06-12,-,NA,-,25,Yes,International,Limited Indoor,Closed,NA
Nevada,2020-06-12,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Hampshire,2020-06-12,Statewide,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Jersey,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
New Mexico,2020-06-12,Statewide,NA,Reduced Capacity,25,Yes,Air Travelers,No Indoor,Closed,NA
New York,2020-06-12,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
North Carolina,2020-06-12,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
North Dakota,2020-06-12,-,NA,All Reopened,-,Yes,All Travelers,No Limits,Closed,NA
Ohio,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,No Limits,Closed,NA
Oklahoma,2020-06-12,High-Risk Groups,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
Oregon,2020-06-12,Statewide,NA,Some Reopened,25,Yes,-,No Limits,Closed,NA
Pennsylvania,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Rhode Island,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
South Carolina,2020-06-12,Lifted,NA,All Reopened,No Limit,Yes,No Restrictions,No Limits,Closed,NA
South Dakota,2020-06-12,-,NA,-,No Limit,Yes,-,-,Recommended,NA
Tennessee,2020-06-12,Lifted,NA,All Reopened,25,Yes,-,No Limits,Recommended,NA
Texas,2020-06-12,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Utah,2020-06-12,Lifted,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Vermont,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
Virginia,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Washington,2020-06-12,Lifted,NA,Some Reopened,Other,Yes,-,Limited Indoor,Closed,NA
West Virginia,2020-06-12,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,Closed,NA
Wisconsin,2020-06-12,Lifted,NA,All Reopened,No Limit,Yes,-,No Limits,Closed,NA
Wyoming,2020-06-12,-,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Alabama,2020-06-13,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Alaska,2020-06-13,Lifted,NA,All Reopened,No Limit,Yes,All Travelers,No Limits,Closed,NA
Arizona,2020-06-13,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Arkansas,2020-06-13,-,NA,-,10,Yes,Certain States,Limited Indoor,Closed,NA
California,2020-06-13,Statewide,NA,Reduced Capacity,All Prohbited,Yes,-,No Indoor,Recommended,NA
Colorado,2020-06-13,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Connecticut,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Delaware,2020-06-13,Lifted,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
District of Columbia,2020-06-13,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
Florida,2020-06-13,Lifted,NA,Reduced Capacity,No Limit,Yes,Certain States,Limited Indoor,Recommended,NA
Georgia,2020-06-13,High-Risk Groups,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Hawaii,2020-06-13,Statewide,NA,Some Reopened,10,Yes,All Travelers,Limited Indoor,Closed,NA
Idaho,2020-06-13,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Recommended,NA
Illinois,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
Indiana,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Iowa,2020-06-13,-,NA,Some Reopened,25,Yes,-,No Limits,Closed,NA
Kansas,2020-06-13,Lifted,NA,All Reopened,25,Yes,Certain States,No Limits,Closed,NA
Kentucky,2020-06-13,Lifted,NA,Some Reopened,25,Yes,No Restrictions,Limited Indoor,Recommended,NA
Louisiana,2020-06-13,Lifted,NA,Reduced Capacity,No Limit,Yes,-,Limited Indoor,Closed,NA
Maine,2020-06-13,Statewide,NA,Some Reopened,25,Yes,All Travelers,Limited Indoor,Recommended,NA
Maryland,2020-06-13,Lifted,NA,Reduced Capacity,10,Yes,All Travelers,Limited Indoor,Closed,NA
Massachusetts,2020-06-13,High-Risk Groups,NA,Some Reopened,10,Yes,All Travelers,No Indoor,Closed,NA
Michigan,2020-06-13,Lifted,NA,Some Reopened,25,Yes,-,Limited Indoor,Closed,NA
Minnesota,2020-06-13,Lifted,NA,Some Reopened,10,Yes,-,Limited Indoor,Closed,NA
Mississippi,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Missouri,2020-06-13,Lifted,NA,Reduced Capacity,No Limit,Yes,-,No Limits,Closed,NA
Montana,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,Limited Indoor,NA,NA
Nebraska,2020-06-13,-,NA,-,25,Yes,International,Limited Indoor,Closed,NA
Nevada,2020-06-13,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Hampshire,2020-06-13,Statewide,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
New Jersey,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,-,No Indoor,Closed,NA
New Mexico,2020-06-13,Statewide,NA,Reduced Capacity,25,Yes,Air Travelers,No Indoor,Closed,NA
New York,2020-06-13,Statewide,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
North Carolina,2020-06-13,Lifted,NA,Reduced Capacity,10,Yes,-,Limited Indoor,Closed,NA
North Dakota,2020-06-13,-,NA,All Reopened,-,Yes,All Travelers,No Limits,Closed,NA
Ohio,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,No Restrictions,No Limits,Closed,NA
Oklahoma,2020-06-13,High-Risk Groups,NA,Reduced Capacity,10,Yes,No Restrictions,Limited Indoor,Closed,NA
Oregon,2020-06-13,Statewide,NA,Some Reopened,25,Yes,-,No Limits,Closed,NA
Pennsylvania,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Rhode Island,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
South Carolina,2020-06-13,Lifted,NA,All Reopened,No Limit,Yes,No Restrictions,No Limits,Closed,NA
South Dakota,2020-06-13,-,NA,-,No Limit,Yes,-,-,Recommended,NA
Tennessee,2020-06-13,Lifted,NA,All Reopened,25,Yes,-,No Limits,Recommended,NA
Texas,2020-06-13,Lifted,NA,Reduced Capacity,No Limit,Yes,No Restrictions,Limited Indoor,Closed,NA
Utah,2020-06-13,Lifted,NA,-,25,Yes,No Restrictions,No Limits,Closed,NA
Vermont,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,Certain States,Limited Indoor,Closed,NA
Virginia,2020-06-13,Lifted,NA,Reduced Capacity,25,Yes,-,Limited Indoor,Closed,NA
Washington,2020-06-13,Lifted,NA,Some Reopened,Other,Yes,-,Limited Indoor,Closed,NA
